, tell
beachbreak, writhing
beached, our
beaches, There
beachsome, noble
beads, and
beaked, ships
beaking, deep
beam, with
beaming, prince
beams, and
bear, the
bearable, true
beard, on
bearded, lion
beards, had
bearing, hard
bears, no
beast, and
beasts, on
beat, till
beaten, silvera
beaters, came
beating, their
beats, down
beauties, skilled
beautiful, tall
beauty, head
beautyall, unbridled
becalmed, me
because, you
beck, and
become, a
becomes, of
bed, Thats
bedded, down
bedding, blankets
bedpost, bored
bedrock, showed
bedroom, finished
beds, each
bedstead, off
bedsteads, To
bedwhen, the
beef, to
been, cooling
bees, store
beeswax, down
beetling, cliffs
befall, a
before, the
beforedriving, the
befriended, him
beg, around
began, You
beggar, hunched
beggarking, for
beggars, rags
begged, you
begging, the
begin, No
begins, to
begs, me
beguile, me
beguiled, by
behaved, as
behavior, Ready
behind, and
behindI, sensed
behindhe, sensed
behindman, enough
being, known
beliefnor, did
believe, I
believed, her
bellied, out
bellies, But
belliesI, struck
bellow, champing
bellowed, out
bellowing, cattle
bellwether, ram
belly, of
bellying, out
bellys, hungers
bellythat, that
belong, to
belongs, to
beloved, land
below, the
belt, around
belted, up
belts, tense
bench, they
benched, ship
benches, swinging
bend, it
bending, back
bends, to
beneath, this
bent, low
berserk, they
berth, as
besets, your
beside, him
best, not
bestdefended, homestead
bestial, than
better, than
betters, so
between, both
bevies, of
bewail, the
beware, woman
bewitch, you
bewitched, Never
bewitching, queen
beyond, his
bid, though
bidding, sat
bids, me
bidshe, gave
big, talk
bigger, game
bilge, she
billow, closed
billy, goats
bind, But
binding, oath
binds, the
bird, on
birds, were
birdsign, I
birdsigns, sounding
birth, my
birthright, up
bit, the
bitch, mounting
bitches, stranger
bitchthe, hardened
bite, from
bitter, end
black, cloud
blacksmith, plunges
blacksmiths, cozy
blade, but
bladed, balanced
blades, one
blame, you
blameless, this
blames, all
blanched, their
blanching, white
blanket, over
blanketed, now
blankets, and
blast, of
blasted, our
blasting, piles
blasts, of
blaze, among
blazed, up
blazing, pyre
blazingeyed, Athena
blazoned, car
bleak, parting
bleating, sheep
bled, his
bleed, away
bless, them
blessed, peace
blessings, on
blest, But
blew, me
blind, so
blinded, the
blinding, madness
blindly, down
blink, at
bliss, There
blissful, gods
blithe, and
blithering, on
block, the
blocked, from
blocking, his
blocks, to
blood, for
bloodfeud, rages
bloodkeen, to
bloodlust, nowdont
bloodmake, peace
bloodsac, and
bloody, slaughter
bloom, that
blooming, orchard
blooms, As
blot, out
blotched, with
blots, out
blotted, out
blow, this
blowbyblow, how
blowhard, Polytherses
blowing, pipes
blowjust, shook
blows, and
blowshe, had
blue, No
blueeyed, Amphitrite
blueprowed, ship
blunder, off
blur, of
blurt, this
blurting, out
blustering, out
blusters, on
boar, then
board, the
boarded, the
boards, But
boarhe, crashed
boars, white
boarsour, wretched
boast, his
boasted, Phaeacias
boasts, and
boat, were
bobbing, round
bodies, every
bodiesthey, were
body, wrapped
boil, Lookhe
boiling, black
boisterous, Northshe
bold, heart
bole, like
bolt, that
bolted, your
bolting, it
bolts, and
boltsand, the
bondage, yoked
bonds, that
bondsmen, who
bone, Odysseus
bones, they
bonetired, When
boneweary, from
boom, of
boomed, back
booming, thunder
boor, Ctesippus
boot, If
bordered, and
borderland, where
bore, himmother
bored, the
bores, his
born, escapes
borne, at
bosom, whisked
both, sides
bother, to
bottom, Now
bottomless, pit
boughs, too
bought, me
boulder, would
boulderfar, larger
boulders, sunk
bound, off
bounded, out
bounding, deer
boundless, laden
bounds, All
bounty, must
bouquet, a
bout, and
bouts, Next
bow, with
bowed, your
bowels, your
bowl, and
bowla, hearty
bowls, with
bows, like
bowstones, cables
bowstring, back
box, both
boxed, them
boxer, Polydeuces
boxers, broad
boxing, wrestling
boy, trailing
boyhood, any
boynever, fear
boys, and
boyspare, me
boythe, whirlwinds
boywhile, he
brace, of
bracing, invitation
brackish, scurf
brag, Listen
bragged, I
bragging, now
braided, rawhide
braids, come
braidsa, danger
brailed, they
brailshe, rigged
brain, I
brains, out
brake, the
branch, good
branches, that
branching, peartree
branchtops, but
brand, in
brandish, your
brandished, his
brandishing, long
brands, with
brash, young
brass, in
brave, he
braved, but
braver, pitch
bravest, of
braving, an
brawling, no
brawn, over
brawny, hand
brayed, against
braying, first
brazen, friends
braziers, onto
bread, and
break, in
breaker, rolled
breakers, Or
breakfast, there
breaking, surf
breaks, my
breast, Strange
breastand, now
breasthe, wept
breath, came
breathe, your
breathed, enormous
breathes, and
breathing, fury
breathless, dead
breathtaking, yes
bred, her
breed, of
breeding, The
breeds, nothing
breeze, Icarius
breezes, singing
brew, with
brewing, mischief
brews, in
bribe, his
bribed, with
bridal, chamber
bride, He
bridegifts, back
bridegroom, she
brideprice, higher
brides, from
bridetobe, yes
bridle, yes
brief, 
bright, red
brightening, now
brightest, star
brighteyed, girl
brilliant, Achilles
brim, with
brimful, with
brimmed, the
brimming, with
brimstone, Odysseus
brine, that
bring, our
bringing, a
brings, you
brink, but
brisk, as
briskly, soon
bristled, deep
bristles, grown
bristling, terror
broached, vats
broad, reach
broadbeamed, raft
brocade, womens
brocaded, beautiful
brocades, in
broil, it
broiled, them
broiling, all
broke, from
broken, beggar
brokenhearted, for
bronze, point
bronzearmored, units
bronzefloored, house
bronzeour, cargo
bronzesided, helmet
bronzestudded, club
bronzetipped, spear
brooch, to
brooches, long
brooding, death
broodmares, suckling
broodsows, slept
brother, Poseidon
brotherinarms, who
brothers, and
brought, you
brow, the
brows, Odysseus
browse, no
brush, and
brushing, tears
brushwood, topped
brusquely, Why
brutal, war
brutallyyes, he
brute, can
bruteI, took
brutes, who
bubble, up
bubbling, fat
buck, Its
buckets, ready
bucking, out
buckle, struggling
buckled, massive
buckler, grazing
bucklers, right
buckling, on
bucks, This
bud, and
budge, that
build, and
builda, royal
building, linked
builds, up
built, so
bulk, ourselves
bulked, before
bull, and
bullies, this
bulliesfoil, each
bulls, at
bullshide, still
bulwark, against
bumper, crops
bunches, of
bundle, of
bundled, back
bundling, into
buoyed, up
burden, surely
buried, their
burly, arms
burn, the
burned, your
burning, with
burnished, bronze
burns, their
burnt, his
burntout, wraiths
burst, of
bursting, in
bursts, of
bury, your
bushes, but
bushy, olives
business, too
bustled, through
bustling, feet
busy, yourself
but, the
butcher, our
butchered, quite
butchery, of
buy, myself
buying, your
by, generations
cable, used
cables, quickly
cadge, his
caked, black
call, itI
called, out
calling, Eurycleia
callous, woman
calls, that
calm, old
calmly, the
calves, and
came, back
camp, when
campaign, certain
campaigner, now
camped, inside
camps, afire
can, finish
cannibal, Cyclops
cannot, miss
canny, son
cant, bring
canted, the
canvas, brailed
cape, If
capes, and
captain, said
captained, your
captains, down
captivating, dances
captive, Trojans
capture, true
car, and
carcass, into
card, the
care, to
cared, so
careering, through
carefully, tended
careless, girl
cares, to
cargo, quickly
caring, and
carousers, and
carousing, here
carpet, tooand
carried, out
carries, news
carry, a
cart, yourself
carve, up
carved, chair
carver, always
carvers, set
carving, away
cascading, waters
case, himself
cast, about
castaway, on
casters, solid
catastrophe, fast
catch, sight
catches, the
catching, his
cattle, and
caught, her
cauldron, forged
cauldrons, not
cause, for
caused, her
causeway, in
cautioned, her
cautious, soul
cautiously, replied
cave, you
cavea, jolting
caveand, that
cavehe, had
cavern, shrilling
caverns, craving
caves, Then
cease, and
ceaseless, raging
cedar, Reaching
celebrate, Sing
celebrating, with
celebration, Quickly
center, flanked
central, column
certain, he
chaff, scattering
chafing, cord
chain, slipped
chains, and
chainshis, debts
chair, wrapped
chairs, and
challenge, wrestled
challenged, him
challenging, all
chamber, with
chambermaid, lit
chambers, deep
chamberwomen, made
champing, grass
champion, half
champions, strive
championyes, or
chance, of
chanced, to
chancing, on
change, 
changed, surely
changes, Just
changing, so
channel, islands
channels, over
chanted, an
chaos, gales
char, it
charge, who
charged, straight
charges, sheep
charging, him
chariot, And
chariotdriver, issued
charioteer, And
charioteers, who
chariothe, must
chariots, men
charlatan, up
charm, you
charmed, my
charred, and
chart, each
charted, deep
chased, in
chases, wild
chaste, Artemis
chattering, all
cheat, to
check, and
checked, them
cheek, you
cheeks, paused
cheer, his
cheered, but
cheese, and
cheeses, offered
cherished, him
chest, Odysseus
chesthigh, then
chests, stood
chided, Nausicaa
chief, who
child, Zeus
childbirth, and
children, For
chill, fatigue
chimed, in
chin, and
chips, to
choice, tunic
choicefight, me
choicest, meats
choirs, their
choked, in
choker, a
choking, groans
choose, well
choosing, a
chop, you
chopped, away
chores, that
chose, a
chosen, better
chuckling, all
chunks, of
churned, the
churning, gray
cinch, their
cinched, his
circle, sidebyside
circling, left
circumspect, Penelope
citadel, That
cities, Famous
citiesand, down
citizen, urged
city, wild
citys, steep
clad, in
claim, me
claimants, rises
claimed, he
claiming, to
claims, to
claimwho, are
clamber, out
clambered, chuckling
clambering, over
clamped, his
clamping, hand
clamps, down
clan, to
clanged, tipping
clanging, against
clans, in
clansmen, Dorians
clap, me
clapped, on
clash, no
clashed, in
clashing, days
clasp, his
clasped, with
clattered, along
clatterhed, been
clattering, down
clawing, the
claws, when
clawsand, the
clean, death
cleanand, Im
cleancutting, the
cleanly, now
cleansed, your
cleansing, fumes
clear, signs
clearIve, got
cleared, away
clearest, head
cleareyed, Pallas
clearheaded, Telemachus
clearing, away
clearly, doing
clearsighted, Telemachus
cleaving, my
clenched, his
clenching, a
clever, tramp
cliff, and
cliffmy, struggles
cliffs, and
cliffside, stands
climb, to
climbed, to
climbing, the
climbs, the
cling, tight
clinging, tight
clings, for
clip, bearing
clipped, into
clipping, his
cloak, And
cloaks, unlined
close, and
closed, in
closely, 
closer, she
closeset, ribs
closest, wall
closing, in
cloth, some
clothes, Ill
clothing, scented
cloths, below
clotted, gore
cloud, of
clouding, blood
cloudno, fear
clouds, but
clover, Down
club, that
clubbed, and
clumps, And
clumsy, ox
clung, for
cluster, fig
clustered, round
clustering, round
clusters, of
clutch, at
clutched, Odysseus
clutches, longsuffering
clutching, his
coarser, sort
coast, driven
coasted, by
coasting, on
coasts, of
coastthey, call
coating, the
coax, her
coaxed, too
coaxing, winged
cobwebs, Surely
cockles, of
cocksure, that
cocksurealways, strutting
codger, could
coil, of
coiled, it
coiling, nets
cold, Hold
colder, with
collect, the
collecting, out
collects, the
colonnade, standing
colonnades, and
colossal, wave
colts, that
column, thickset
columnhung, his
columns, towering
combat, forces
comber, will
combers, rolling
combing, wool
come, the
comeall, you
comeand, why
comes, again
comfort, of
comforts, there
coming, round
command, ran
commandI, saw
commanded, He
commandeer, your
commandeered, those
commander, Mentor
commanding, her
commands, harnessed
commandtheyd, chosen
commend, the
committed, killing
common, marks
companion, came
companions, feasted
company, reached
compassion, ran
compete, Well
competition, Topsail
complete, she
complied, But
comply, stop
composed, Penelope
composure, said
compound, their
comrade, some
comradeall, the
comradeinarms, in
comrades, say
comradesatarms, are
comradesif, only
comradesinarms, and
comradeswe, whod
conceive, that
conceived, it
concentrate, on
concentrating, their
concern, you
concerned, for
concluding, Good
concocted, Quick
concubine, hed
condition, you
conditioning, there
conferred, with
confided, in
confiding, all
confirmed, each
confronting, a
confuse, me
congenial, to
conjure, up
conned, me
conniving, here
connoisseur, of
conquered, my
conquering, hero
conquers, all
conquest, past
conscience, Up
conscientious, hands
consent, to
considerate, queen
consort, of
consorting, with
conspired, back
construction, I
consult, Tiresias
consume, your
consumed, with
consuming, equal
consummated, his
contenders, Still
content, of
contest, Welcome
contests, mastersatarms
contingent, back
continue, to
continued, No
contribute, a
contrive, a
contrived, to
control, yourselves
conversation, My
convince, you
convinced, hed
convoy, the
convoys, home
convulsed, with
convulsively, streaming
cook, before
cool, clear
coolheaded, Telemachus
cooling, our
coolly, I
cooped, like
coped, them
coping, the
cord, wrenched
corded, bedsteads
cordial, winning
core, Convinced
coretoo, late
corn, But
cornel, nuts
corpse, in
corpses, there
cortege, of
cost, us
costs, with
couch, all
couching, us
could, see
couldnt, trouble
council, Polybus
counsel, always
counseled, me
count, them
counted, up
countered, it
counting, No
countingboasting, ninety
countless, towns
country, hed
countryhurry, home
countryman, at
countrymen, head
countrymenthe, suitors
countryside, begging
countrystill, alive
countrywomen, would
counts, on
couple, once
couples, way
courage, Laertes
course, its
coursemuch, against
courses, deeply
coursing, after
court, the
courted, the
courting, the
courtly, Lord
courts, me
courtship, Whos
courtyard, gates
courtyards, strong
cove, and
cover, Her
covered, the
covering, corpse
coverings, deep
coverlets, fling
covers, No
coves, where
cow, from
coward, and
cowards, Weak
cowed, by
cower, in
cowered, trembling
cowering, sick
cowherd, swineherd
cows, hoof
cozy, nest
crack, at
cracked, open
cracking, smartly
crackling, roots
cradle, viewed
cradled, his
cradling, his
craft, and
crafted, of
craftmy, fame
craftshe, could
craftsman, washes
craftsmanunless, a
crafty, son
crag, that
craggy, peaks
crags, where
cragsail, on
crammed, them
cramped, One
cramping, my
cranes, could
crash, the
crashed, his
crashing, seas
craved, it
craven, hearts
craving, him
crawl, inside
crawled, inside
crawls, across
crazed, with
craziness, got
crazy, The
creating, pain
creature, reeled
creatures, the
creepers, twisted
creeping, upon
crept, out
crest, atop
crested, helmet
cresting, through
crests, and
crew, can
crewman, giving
crewmen, heaved
crews, to
cried, out
cries, the
criesblanching, terror
crime, Not
crimes, Odysseus
crimson, prows
cringe, at
cringed, with
cringing, under
cripple, wins
crippled, Smith
crisis, broke
crisisMenelaus, urging
crisp, with
crone, who
crookclawed, hookbeaked
crop, of
crops, of
cross, the
crossbeams, dripping
crossed, her
crossexamine, him
crossing, wastes
crouch, at
crouched, in
crouching, over
crowd, of
crowded, in
crowding, the
crowds, amazement
crown, of
crowned, the
crowning, day
crowns, a
crucial, test
crude, arrogant
cruder, God
cruel, fighting
cruelty, please
cruising, till
crumbs, and
crush, it
crushed, by
crushing, walls
crust, of
crusted, with
crusts, to
cry, the
cryhe, must
crying, Royal
cub, slips
cubs, conniving
cue, the
cultivate, his
cunning, magic
cunningby, his
cunningtold, his
cup, across
cupful, Id
cups, You
curb, your
curbed, his
curdled, quickly
cure, with
cured, them
cures, disease
curiosity, each
curls, like
curlyhaired, His
current, bore
curse, from
cursed, city
curses, on
curved, shipshe
curving, horns
custom, when
customhand, this
customs, ways
cut, them
cutandthrust, close
cuts, pulled
cutter, chanced
cutthroat, bandits
cutthroats, even
cutting, me
cyclone, hits
cypress, post
dam, and
damage, have
damn, those
damped, our
dance, and
danced, across
dancers, are
dances, She
dancing, feet
dancingcircles, Hyperia
dancingfloor, to
dancingrings, of
dandled, me
danger, great
dangerous, too
dangle, in
dangled, their
dangling, in
dank, moldering
dappled, fawn
dare, you
dared, to
dares, approach
daring, Only
dark, world
darken, purple
darker, too
darkest, woods
darkly, 
darkness, quickly
darkprowed, ship
darling, husband
darted, out
darting, gadfly
dash, me
dashed, their
dashing, Eurymachus
daubing, it
daughter, of
daughterking, of
daughters, gathered
daunt, my
daunted, And
daunts, me
dawdling, round
dawn, we
dawning, on
dawns, today
day, for
dayId, make
dayand, give
daybreak, bathe
daydreamdeep, in
daylight, covered
daylightthen, to
days, Let
dayson, the
daythe, man
daze, the
dazed, he
dazing, them
dazzle, 
dazzled, by
dazzling, radiance
dead, Attackbefore
deadlock, So
deadly, fate
deadno, harder
deaf, to
deafening, bedrock
deal, with
deals, both
dealt, to
dear, gods
dearest, of
dearly, loved
death, in
deathPersephone, has
deathand, round
deathbed, the
deathcries, hulls
deathless, gods
deathly, waves
deathplunge, in
deaths, Odysseus
deathshriek, of
deaththe, greatest
deaththroes, hoofs
deathtrap, then
deathyou, die
deathyour, choicefight
debate, and
debated, all
debating, head
debauched, to
debt, the
debts, as
deceive, you
deceived, us
decency, in
decent, answer
deception, sent
decide, to
decided, to
deck, you
decked, out
deckhands, bore
decks, his
decksbut, a
declaration, and
declared, Strange
declined, in
decree, 
decreed, and
decrees, of
deeds, of
deep, delight
deepblue, sea
deeper, into
deepest, darkest
deeply, Nor
deepred, mellow
deepsea, craft
deepseagoing, ships
deepwater, harbor
deepwith, two
deer, and
defeat, Only
defeated, baffled
defeats, himself
defend, himself
defending, Agamemnons
defense, When
defenseless, puppies
deferred, at
deft, way
deftly, surely
delay, my
delays, no
deliberate, harm
deliberately, setting
delicacies, aplenty
delight, What
delighted, to
delights, in
deliver, him
delivered, an
delivering, him
delta, I
delving, for
demanded, Circe
demanding, Eat
demolish, Troy
demolished, So
demonic, gale
demurred, whatever
den, gazing
denher, newborn
denial, I
denied, your
denounced, me
dense, so
densely, woven
deny, or
denying, them
departed, husband
depend, all
deploy, this
deprived, of
depth, and
depths, below
derive, from
descend, on
descended, not
descent, to
describe, I
desert, this
deserve, your
deserved, So
deserves, no
desire, blocked
desires, but
desist, from
desolate, island
despair, Then
desperate, scanning
desperatedriving, him
despise, you
despised, no
despises, nor
despite, our
destined, to
destiny, brought
destroy, him
destroyed, it
destroying, one
destruction, for
detail, ahead
details, and
detain, you
detect, him
determined, even
detested, him
devastates, the
devastating, Ares
devastation, terrible
devices, not
devise, for
devoted, as
devour, a
devoured, some
devouring, all
dew, together
dewfalls, healthy
dice, before
did, so
didnt, askall
die, at
dieand, I
died, Agamemnon
dieda, wretched
diehard, Menelaus
dies, and
dieto, Athena
different, course
digging, round
dim, the
dimmed, your
din, rose
dine, in
dined, him
dining, well
dinner, urging
dinnerhour, approached
diplomatic, Odysseus
dipped, into
dipping, its
dire, Charybdis
direct, the
directed, Telemachus
direst, fears
dirge, Not
dirt, and
dirtpoor, tenant
dirty, work
disaster, brings
disasterbig, timbers
disastrous, end
disbelief, No
disclose, and
discreet, Penelope
discreetly, The
discretion, Ah
discus, and
disease, a
disembark, come
disembarked, and
disgrace, your
disgraced, even
disguise, themselves
disguised, a
disgusting, beggars
dishonest, too
disloyal, to
dismal, fate
dispatch, themlicking
dispatched, some
dispatching, the
dispersed, the
displacing, his
display, herself
disrespect, you
dissented, dreams
dissolve, quarrels
dissolved, in
dissolving, all
distaff, and
distance, probe
distant, embassy
distinction, one
distraught, for
diver, his
diverting, his
dives, for
divine, unguent
divined, and
diving, tern
division, offering
divisions, each
do, you
doddering, friends
dodge, black
dodges, no
dodging, the
dodisgrace, my
doe, that
does, the
doesnt, return
dog, of
dogfish, or
dogged, by
dogs, to
doing, better
dolphins, dogfish
domains, Daydreaming
done, Now
donned, my
donning, her
dont, court
doom, and
doomed, now
doomhe, feasted
door, and
doorbolt, slit
doorjambs, snugly
doorpost, past
doorposts, poised
doors, and
doorsbroad, as
doorsill, 
doorslab, up
doorway, into
doting, over
double, doors
doubled, up
doublehandled, jars
doubly, hung
doubt, one
doubtless, to
doubts, they
doused, my
dove, And
doves, or
down, her
downandout, poor
downcurrent, wild
downdivine, Calypsos
downpour, drench
downscour, the
downstream, 
dozen, rugs
draft, a
drafts, of
drag, from
dragged, him
dragging, the
drags, out
drain, the
drained, the
draining, the
drains, our
drank, inside
draped, a
draw, the
drawing, the
drawn, if
draws, on
dread, the
dreaded, Charybdis
dreadful, thing
dreading, the
dreads, the
dream, That
dreamed, that
dreamer, who
dreams, put
dregs, of
drench, it
drenched, by
drenching, his
dress, well
dressed, him
dresses, glossy
dressingdown, from
drew, a
dried, my
drift, I
drifted, a
drifter, Not
drifters, I
drifting, out
drill, keeps
drilled, stone
drills, he
drink, but
drinking, eating
drinkingthe, feast
drinks, beyond
dripping, red
drive, in
driven, mad
driver, of
drives, me
driving, him
droning, prophecies
drop, in
droplets, Just
dropped, it
dropping, in
drops, from
drove, him
drovers, help
droves, Terror
drown, us
drowned, in
drowning, in
drubbed, that
drug, that
drugged, the
drugs, youre
drumming, round
drunk, was
dry, retaining
dryeyed, the
drying, cheeses
ducked, your
due, a
dug, a
duly, chosen
dumb, but
dumbfounded, them
dumbfounds, me
dumbstruck, watching
dung, from
dunghill, 
duped, them
durable, bronze
dusk, with
dust, overpowered
duties, well
dwarf, a
dwell, on
dying, are
each, man
eager, to
eagle, just
eagles, plunge
ear, pounding
early, you
earlytodays, a
earn, their
earned, in
earns, the
earrings, mulberry
ears, with
earshot, at
earth, Odysseus
earthEgyptians, born
earthgood, or
earthquake, god
earthquakes, reassured
ease, and
eased, me
easily, spend
east, she
easy, air
eat, raw
eaten, well
eating, us
eavesdrop, on
ebb, away
ebbed, from
ebbs, and
echo, round
echoed, round
echoes, last
echoing, porch
ecstasya, vision
edge, of
edged, up
effort, handsome
egging, comrades
eight, spears
eighteenth, dawn
eighth, had
either, side
elaborate, chair
elbowhe, perked
elders, sent
eldest, lord
elegant, chairs
eleven, days
eloquence, counsel
else, 
elses, house
elseso, great
elsewhere, Not
embark, loving
embarked, with
embarrassed, Now
embarrassment, in
embassy, made
embattled, Odysseus
embers, from
emblazoned, with
embrace, his
embraced, a
embracing, his
embroidery, clasped
emerged, from
emotions, back
emptied, one
empty, boasts
emptyhanded, Now
en, masse
encamped, our
enchant, You
enchanted, 
enchanting, their
enchants, the
enclose, the
enclosed, the
encounter, fate
end, contrived
endearing, sly
ended, goddess
endless, and
endow, them
endowed, by
ends, Remember
endurance, But
endure, it
endured, himselfhis
enduring, many
enemies, mow
enemy, soldier
enemys, city
enfolding, me
engage, him
engulfing, folds
enjoy, his
enjoyed, such
enlist, a
enormous, strength
enough, eager
enoughas, you
enraged, as
ensnare, you
enter, that
entered, his
entertain, us
entertained, you
entertainment, And
enthralled, to
enthroned, holding
enticed, and
enticing, than
entire, house
entirely, honest
entitled, to
entrails, flesh
entrance, thronging
entranced, with
entrancehall, on
entrancing, glades
entrusted, him
equal, now
equals, of
equipment, black
equipped, Run
erect, at
erected, to
errand, to
errands, here
escape, our
escaped, their
escapes, its
escapetwist, and
escaping, it
escort, Ill
escorted, Pero
escorting, Atreus
escorts, took
especially, to
estate, remote
estates, our
esteem, and
esteemed, by
etched, with
eternal, mansion
evanescent, dreams
even, by
evening, light
event, no
ever, keen
everglowing, gold
everlasting, gods
every, Achaean
everything, I
evil, And
ewe, then
ewes, kept
exactly, as
exalt, a
excel, the
excelled, for
excels, all
except, Laodamas
exchange, the
exchanged, the
exclaimed, in
exclaiming, Friend
exclamations, Friend
excuse, that
exhausted, sick
exhaustion, and
exile, great
exit, did
exotic, land
expect, the
expectation, every
expectations, So
expected, at
expedition, that
expert, singer
expertly, Braces
explained, Im
exploding, in
exploit, lookbut
exploiting, them
exploits, hold
explored, his
exposed, Go
exultant, charioteer
exulted, Father
exults, as
eye, Hes
eyeball, burst
eyeif, only
eyelids, round
eyes, ablaze
eyesvoice, choked
face, while
faced, Odysseus
facejust, shook
faces, they
facetoface, he
facing, his
fact, Odysseus
factI, need
fade, away
fading, far
fail, and
failed, to
failing, to
fails, to
failure, all
fainting, as
fair, share
fairly, sound
fairness, seems
faith, until
faithful, wife
faithfully, looked
faithless, to
fall, so
fallen, leaves
falling, fast
fallow, fieldhow
falls, in
falsehoods, all
faltering, filled
fame, of
famed, for
familiar, place
family, buried
famous, man
fan, to
fancies, But
fancy, chairs
fangs, thickset
fans, the
far, from
fare, and
farewell, rang
farfamed, Ephialtes
farm, that
farmer, who
farmers, plunder
farmhe, never
farmlands, far
farms, dragged
farmstead, tend
farmyard, labors
farmyour, living
faroff, country
farseeing, Zeus
farther, All
farthest, out
fashion, lovely
fashioned, the
fast, and
fasta, shatter
fastened, rawhide
faster, lunging
fasting, right
fastthe, mainland
fasttheyll, fetch
fat, sheep
fatal, sleep
fate, that
fated, to
fateful, signs
fates, Hermes
fatfed, seals
father, now
fatheramazing, in
fatherat, least
fathered, me
fatherland, once
fathers, line
fatherswhen, you
fatherto, sacred
fathom, long
fathoms, tall
fatigue, and
fatted, goats
fattened, up
fattest, porker
fault, me
favor, not
favored, most
favoring, wind
favorite, chair
favorites, So
favors, most
fawn, in
fawning, around
fawns, a
fear, weapons
feared, the
fearing, death
fearless, Antilochusand
fears, He
feast, the
feastday, up
feasted, consuming
feasters, however
feasting, His
feasts, They
feat, can
feathers, out
feats, of
feature, I
features, facetoface
fed, me
feebler, than
feed, to
feeding, strangers
feeds, droves
feel, when
feeling, some
feelings, run
feels, it
feet, the
feetyoure, like
feigned, a
fell, at
felled, he
fellow, told
fellowCyclops, All
fellowIthacans, will
fellowcountrymen, then
felt, her
fence, of
fenced, her
ferocious, beasts
ferry, back
fertile, land
festal, day
festival, Hardly
fetch, you
fetched, them
feud, between
feuding, Atreus
few, escape
fewer, of
field, and
fieldhands, bondsmen
fieldhow, welcome
fields, of
fieldwork, The
fierce, as
fiercely, forever
fiery, bronze
fifth, the
fifty, vinerows
fiftytwo, of
fig, no
fight, where
fightcall, up
fighter, turned
fighters, cold
fighting, here
fights, to
figs, and
figsand, promised
figtree, rises
figtrees, height
figure, Hardly
file, they
filed, in
filing, into
fill, of
fillas, all
filled, her
filling, the
fills, my
fillwith, warm
filmy, a
filth, a
filthy, rags
filthythe, rags
final, gasp
finality, on
find, his
findmuster, a
finds, dirt
fine, work
finely, spun
finer, stock
finery, from
finespun, the
finest, most
finger, then
fingers, might
finish, I
finished, it
finisheda, thought
finishes, of
fire, Your
firecheeks, rivering
fired, up
firedamaged, equipment
firelight, faced
fires, closely
firethe, glow
firewood, cleanly
firm, in
firmed, and
firmly, if
firs, that
first, that
firsthand, so
firstrate, men
fish, have
fishermen, drag
fishinfested, sea
fishing, with
fishthanks, to
fist, at
fists, and
fit, and
fitted, into
fitting, sandals
fittings, wove
five, years
fivepronged, forks
fix, a
fixed, on
fixing, supper
flag, The
flaggedbut, his
flagging, no
flags, with
flailing, out
flair, he
flames, and
flaming, fire
flanked, by
flanking, it
flanks, to
flap, around
flare, up
flaring, brands
flash, from
flashed, it
flashing, arrows
flashingeyed, Athena
flashy, show
flask, of
flat, on
flatland, cringing
flatly, Im
flats, huddling
flawless, kings
flay, the
flayed, alive
fled, ages
flee, if
fleece, blankets
fleeces, over
fleecy, cloaks
fleeing, from
flees, to
fleet, and
fleldhands, in
flesh, with
fleshhe, vomited
fleshing, out
fleshmyselfand, home
flew, on
flexes, bows
flexible, wily
flicked, away
flickering, quick
flight, to
flights, of
flightso, vast
flighty, weakwilled
flinch, no
fling, ashore
flinging, his
flings, his
flipped, like
flips, on
flitted, off
flittering, wild
flitters, away
flitting, shades
floating, up
flock, of
flocked, now
flocking, toward
flocks, or
flood, of
flooded, their
flooding, across
floor, awash
floored, with
floors, You
flopped, down
flopping, up
flotilla, I
flourish, So
flouting, her
flow, of
flowed, and
flower, white
flowerbraided, bowl
flowers, a
flowery, fragrant
flowing, as
flowinghaired, Achaeans
flown, like
flows, his
fluent, and
flung, her
flurry, steady
flush, of
flushed, with
fluttered, Here
fluttering, off
fly, And
flying, fast
foaming, lanes
fodder, paired
foe, in
foes, Come
fog, swirling
fogbound, cavern
foggy, sea
foil, he
foiled, us
foils, and
fold, sliced
folded, them
folding, their
folds, are
follow, yes
followed, later
following, his
folly, What
fond, old
fondest, prayer
fondling, itdazzled
food, old
foodwhy, die
fool, Step
foolI, see
fooled, me
foolish, mad
foolit, drives
fools, Breaking
foolsyou, cant
foot, made
foota, resounding
footbaths, either
footfall, The
foothold, there
footings, of
footrace, 
footrest, under
footsteps, too
footstepsman, and
footstool, hurled
footstools, flung
footwork, dance
for, all
forbid, it
forbidand, the
force, swooped
forced, Once
forces, high
forcing, us
ford, that
forearm, calling
forearms, depth
foreboding, told
forebodings, 
forecasts, Irus
forecourt, flung
forecourts, colonnade
forehead, slammed
foreign, parts
foreigner, lop
foreignspeaking, lands
foreman, of
foremans, every
foremost, Our
foresaw, his
foresight, won
forest, nymphs
forestays, off
forests, At
foretold, Now
forever, all
foreverempty, of
forge, Or
forged, to
forget, the
forgetting, the
forgot, to
forks, Once
form, and
formed, an
forsake, our
forsaking, this
fort, of
forth, packed
forthright, prince
fortified, himself
fortress, out
fortune, once
fortunes, roving
forty, figsand
forward, The
fought, to
foul, name
fouls, you
found, Telemachus
